,0
0,34598102
1,38706105
2,11567101
3,39503101
4,17915104
5,36216101
6,16503102
7,33551101
8,15560102
9,35896101
10,38243102
11,15213101
12,30130102
13,35057101
14,30572101
15,33656101
16,13822101
17,12156101
18,34222101
19,15411102
20,18181101
21,35705102
22,12347102
23,12697101
24,33098101
25,30315103
26,34127101
27,31662103
28,36476101
29,17784101
30,33552101
31,10376102
32,33714101
33,10865101
34,39245102
35,16252101
36,11556101
37,10197101
38,35216101
39,37780101
40,38055101
41,37067102
42,35509101
43,12312101
44,16697102
45,10736101
46,13917101
47,39626101
48,34278101
49,14859102
50,12655106
51,39396101
52,33832101
53,31732101
54,12542101
55,31376102
56,12246102
57,33649101
58,13932102
59,34818101
60,38248103
61,35060102
62,35651101
63,14400101
64,13822102
65,35886101
66,10190101
67,14752102
68,37259102
69,38982103
70,16951102
71,32962101
72,37947104
73,17578101
74,38076102
75,11536101
76,33611102
77,18667101
78,34561102
79,10258101
80,17262102
81,11416102
82,16960101
83,39392103
84,37154103
85,30397102
86,34311102
87,18104101
88,30142101
89,35022103
90,38443101
91,32669102
92,31037101
93,17120102
94,38168102
95,13053102
96,38982102
97,12274101
98,33618101
99,39088102
100,35949101
101,13797101
102,34741102
103,10995101
104,33347101
105,35683101
106,18127101
107,38727101
108,30470102
109,38289101
110,38841101
111,34757102
112,31732102
113,30100103
114,34651102
115,18424102
116,10797101
117,14301101
118,12781101
119,12263101
120,17675101
121,13396101
122,37743102
123,33773101
124,39386101
125,34629101
126,13105102
127,36233101
128,32016101
129,17360102
130,33601104
131,14025102
132,35299101
133,12116102
134,37365101
135,35991101
136,11004101
137,10867101
138,34453101
139,31903101
140,31890101
141,35846102
142,13332101
143,31099103
144,32074101
145,13597101
146,31530102
147,13413103
148,36285102
149,31681101
150,14025101
151,13960101
152,33031101
153,36450101
154,17026101
155,11365103
156,16126102
157,34826102
158,32854101
159,13815101
160,37358101
161,31959101
162,14311102
163,12286101
164,11233101
165,10245103
166,37908101
167,37460102
168,31972102
169,16574102
170,11244101
171,12390102
172,18471101
173,31854101
174,10552102
175,36038101
176,33987102
177,37270101
178,15459101
179,31859101
180,33622101
181,31908101
182,38509101
183,10295102
184,11294101
185,39122101
186,18356103
187,38351101
188,17067102
189,12618101
190,34507101
191,31162102
192,35241103
193,15366102
194,10572101
195,38932103
196,13356103
197,16659101
198,30250101
199,15017103
200,32932101
201,11477101
202,16227101
203,16416101
204,39444102
205,16277101
206,36284102
207,37767101
208,17235101
209,17903101
210,12935103
211,37854101
212,30633102
213,33603103
214,31588101
215,10872101
216,12960102
217,35505101
218,39586101
219,14510103
220,11309102
221,10510101
222,11724101
223,31411101
224,12814102
225,38128101
226,14390101
227,36377101
228,16416102
229,16760101
230,15249102
231,38243101
232,34733101
233,17826102
234,36489102
235,30689102
236,30224102
237,34951102
238,18000101
239,34591101
240,37360103
241,12544103
242,10865102
243,37680102
244,36013101
245,10373101
246,35695102
247,30013102
248,13588101
249,30997101
250,34402102
251,34391102
252,33714102
253,13883102
254,37400101
255,36297101
256,30195101
257,33371101
258,11504101
259,32709102
260,30988102
261,16314101
262,37005102
263,14402101
264,17459103
265,16531101
266,11465102
267,16515102
268,13189102
269,11278101
270,16447101
271,39671101
272,36278101
273,13860101
274,31662102
275,33680101
276,37693101
277,31116102
278,16391104
279,11207102
280,30010101
281,11263102
282,30829101
283,17620101
284,36337102
285,34795101
286,32039102
287,39707101
288,10314102
289,38727102
290,35068102
291,15285101
292,12744102
293,35801101
294,10471101
295,13020101
296,34426101
297,39203101
298,16878201
299,36419102
300,31802101
301,31937101
302,12454101
303,13193101
304,34752101
305,17264101
306,36419101
307,31247101
308,16176101
309,34819102
310,12571102
311,15113101
312,31883102
313,14864101
314,16373101
315,34577102
316,16745101
317,17265101
318,10923102
