Final,Weight
10007101,6263.48
10007102,5575.46
FALSE,7703.39
FALSE,6390.7
10008101,6170.53
FALSE,7874.76
FALSE,5746.83
FALSE,10118.38
FALSE,15410.5
FALSE,17300.88
FALSE,5748.28
FALSE,7357.65
FALSE,5841.76
FALSE,4517.74
FALSE,5297.33
FALSE,5747.31
FALSE,5550.09
FALSE,6610.71
FALSE,6004.29
10017101,11412.26
FALSE,10443.46
10019101,8192.75
10019102,7786.38
FALSE,12070.48
10020101,13318.97
FALSE,3765.76
FALSE,0
FALSE,3728.21
FALSE,17770.57
FALSE,0
FALSE,9988.5
FALSE,16139.18
FALSE,16366.65
FALSE,3553.01
FALSE,3990.29
FALSE,5441.05
FALSE,5058.53
FALSE,5977.56
FALSE,2855.86
FALSE,4116.21
FALSE,2938.38
FALSE,4222.36
10033101,10697.02
FALSE,7317.48
10033103,8167.14
FALSE,14240.15
10034102,15204.98
FALSE,13000.85
FALSE,3278.21
FALSE,2367.91
FALSE,2420.24
FALSE,2604.69
FALSE,3327.1
10036101,10577.55
FALSE,13940.51
FALSE,5930.37
FALSE,3850.46
FALSE,4625.95
FALSE,4353.96
10043101,17531.43
FALSE,17572.1
FALSE,15760.52
FALSE,24198.07
FALSE,2346.18
FALSE,3834.34
FALSE,6115.3
FALSE,5503.54
FALSE,5429.8
FALSE,5104.02
FALSE,5937.39
FALSE,7115.18
10047103,4841.53
FALSE,13386.71
FALSE,8023.71
FALSE,12842.46
FALSE,2895.14
FALSE,3052.87
FALSE,3003.83
FALSE,9475.63
FALSE,7586.35
FALSE,8204.63
FALSE,12021.2
FALSE,12946.08
FALSE,12032.86
FALSE,2230.45
FALSE,792.13
FALSE,2274.06
FALSE,2393.47
FALSE,5228.23
FALSE,6860.22
FALSE,6227.27
FALSE,3946.17
FALSE,3946.17
FALSE,5660.08
10067101,16602.02
10067102,22181.89
FALSE,18979.66
FALSE,19443.99
FALSE,12511.52
FALSE,13162.06
FALSE,10480.76
10072101,4293.38
10072102,3864.39
FALSE,2517.86
FALSE,4232.34
FALSE,4433.7
FALSE,3297.71
FALSE,2774.85
FALSE,7868.48
FALSE,4555.13
FALSE,3265.56
FALSE,3426.7
FALSE,4488.55
FALSE,2856.56
FALSE,4902.93
FALSE,2561.05
FALSE,1796.34
FALSE,3017.47
FALSE,3555.85
10080101,3523.08
10082101,5536.06
FALSE,6612.87
FALSE,8246.94
10086101,5166.75
10086102,5684.04
FALSE,2655.36
FALSE,4295.46
10086105,4425.19
10086106,4581.03
10087101,2718.02
FALSE,1334.44
FALSE,2445.02
FALSE,2166.4
FALSE,11881.06
10090101,7829.74
FALSE,8490.28
FALSE,14359.4
FALSE,5823.68
10095101,11472.33
10095102,15497.86
10096101,2000.06
FALSE,1877.64
10096103,2546.74
FALSE,5833.99
10098101,10779.59
10098102,10587.67
FALSE,15207.05
FALSE,12206.11
FALSE,7623.47
10104101,26997.52
FALSE,21083.83
10105101,20100.01
10105102,0
FALSE,9802.86
FALSE,12492.36
FALSE,11353.7
FALSE,7457.72
FALSE,7333.38
FALSE,1293.1
FALSE,2393.79
FALSE,1007.18
FALSE,1440.41
FALSE,7590.28
FALSE,7133.62
FALSE,6701.28
FALSE,6701.28
FALSE,5715.64
FALSE,5715.64
10117101,3984.89
10117102,4621.8
10117103,4304.85
FALSE,2543.08
FALSE,0
FALSE,2777.14
FALSE,3082.18
FALSE,2617.86
FALSE,2930.69
FALSE,3695.09
FALSE,3893.57
FALSE,5664.27
FALSE,3048.21
FALSE,0
FALSE,0
FALSE,0
