,0
0,35807102
1,16447101
2,13752101
3,37930102
4,36020101
5,15348101
6,32175101
7,30674102
8,34525102
9,35953101
10,37562101
11,34402102
12,30913101
13,10396104
14,30114102
15,15767101
16,14404102
17,33226101
18,17026102
19,31522101
20,38634101
21,11678101
22,18660101
23,15244102
24,12590101
25,13893102
26,36033101
27,14229101
28,33869102
29,11953101
30,36019102
31,30426103
32,39122102
33,14787101
34,34951101
35,31399101
36,11306101
37,35683101
38,18527101
39,38610101
40,13558101
41,14056101
42,14806101
43,35734101
44,10133102
45,18724101
46,10804103
47,13495101
48,12460102
49,30347101
50,34742101
51,10098102
52,11556101
53,30185101
54,15711102
55,11244101
56,31731102
57,18704101
58,12800102
59,18200102
60,16659101
61,34230101
62,33298102
63,39066101
64,17826102
65,38513101
66,39399101
67,36589103
68,15520101
69,10923102
70,33239104
71,16951102
72,33956101
73,36771101
74,10372102
75,37902103
76,10330102
77,35737102
78,34004101
79,31630103
80,14025102
81,30914101
82,34358102
83,31247101
84,39512102
85,31080101
86,34938102
87,17801101
88,31827101
89,15562101
90,15617103
91,31892102
92,15875101
93,18127101
94,18255102
95,31107102
96,32244201
97,13014101
98,39332102
99,11389101
100,37586101
101,36557101
102,10696102
103,31264101
104,13429101
105,31099101
106,11253101
107,16777102
108,11117101
109,13050102
110,14201102
111,36427102
112,18505101
113,35980101
114,37400102
115,13898102
116,15169101
117,36330102
118,33667101
119,39186103
120,15344102
121,35808102
122,16018101
123,35700101
124,31556101
125,36508102
126,32491102
127,33407101
128,14066102
129,15875102
130,13128101
131,17117102
132,39392101
133,18223102
134,34917102
135,12948101
136,15524101
137,34222102
138,12401101
139,33855101
140,14011102
141,13234101
142,34367101
143,30724102
144,39532201
145,35408101
146,11506101
147,30140105
148,11477102
149,37597104
150,17808101
151,32495101
152,33987102
153,32899101
154,15680101
155,30919101
156,37521102
157,15646101
158,12504102
159,16356104
160,37806102
161,11805102
162,34239101
163,14259101
164,10987101
165,14595101
166,13484101
167,14054101
168,13064101
169,10145101
170,13908101
171,37762101
172,10362101
173,31685102
174,34544101
175,15771102
176,35275102
177,13694101
178,34893102
179,33960102
180,14528101
181,10403101
182,31734101
183,38106101
184,15023102
185,30002102
186,36429101
187,33087103
188,36026101
189,33551101
190,36962101
191,30771102
192,38138102
193,30498101
194,30994103
195,36190101
196,30350101
197,35436101
198,12332101
199,15851103
200,31196102
201,35449101
202,12659101
203,39123102
204,37345101
205,12992101
206,14692101
207,38917101
208,37028101
209,30417101
210,16628102
211,13289103
212,10712101
213,10270102
214,13960102
215,17544101
216,15617101
217,18088102
218,34921101
219,12470101
220,37597102
221,13969101
222,12374101
223,17226101
224,36419101
225,37330103
226,39645101
227,32461101
228,33144101
229,38988101
230,31373101
231,10296101
232,35140101
233,32398102
234,10923101
235,33560101
236,12330107
237,35356101
238,14658101
239,34598102
240,14000101
241,11293102
242,32163101
243,35896102
244,30298102
